Codigo      Período      Demanda
1           1            10
1           2            11
1           3            12
1           4            10
1           5            14
1           6            13
1           7            12
1           8            11
1           9            10
1           10           11
2           1            10
2           2            11
2           3            12
2           4            10
2           5            14
2           6            13
2           7            12
2           8            11
2           9            10
2           10           11
3           1            10
3           2            11
3           3            12
3           4            10
3           5            14
3           6            13
3           7            12
3           8            11
3           9            10
3           10           11
4           1            10
4           2            11
4           3            12
4           4            10
4           5            14
4           6            13
4           7            12
4           8            11
4           9            10
4           10           11
5           1            10
5           2            11
5           3            12
5           4            10
5           5            14
5           6            13
5           7            12
5           8            11
5           9            10
5           10           11
6           1            10
6           2            11
6           3            12
6           4            10
6           5            14
6           6            13
6           7            12
6           8            11
6           9            10
6           10           11
7           1            10
7           2            11
7           3            12
7           4            10
7           5            14
7           6            13
7           7            12
7           8            11
7           9            10
7           10           11
8           1            10
8           2            11
8           3            12
8           4            10
8           5            14
8           6            13
8           7            12
8           8            11
8           9            10
8           10           11
9           1            10
9           2            11
9           3            12
9           4            10
9           5            14
9           6            13
9           7            12
9           8            11
9           9            10
9           10           11
10          1            10
10          2            11
10          3            12
10          4            10
10          5            14
10          6            13
10          7            12
10          8            11
10          9            10
10          10           11
