Codigo      Período      Demanda
1           1            10
1           2            11
1           3            12
1           4            10
1           5            14
1           6            13
1           7            12
1           8            11
5			1			15
2           1            10
2           2            11
2           3            12
2           4            10
2           5            14
2           6            13
2           7            12
2           8            11
3           1            10
3           2            11
3           3            12
3           4            10
3           5            14
3           6            13
3           7            12
3           8            11
4           1            10
4           2            11
4           3            12
4           4            10
4           5            14
4           6            13
4           7            12
4           8            11

