Relatório de situação do estoque

Data de expedição: 2016-09-19_22:09:54
Período de referência: 1

--------------------------------------------------------------------------------
Código	Descrição	Qnt Existente	Demanda Tot.	Estoque Min		Estoque Max
--------------------------------------------------------------------------------
1		Pudim		100				214				63				164
2		Ma�a		120				234				77				196
3		Escova		10				124				2				26
4		Agua		100				214				63				164
5		Fones		50				164				28				84
6		Batata		200				314				133				322
7		P�o		150				264				98				244
8		Camera		2				116				7				34
9		Chiclete		400				514				272				636
10		Quadros		25				139				9				42
--------------------------------------------------------------------------------

